,Security,Description,Category,Subcategory
,EHFI247 Index,Eurekahedge Emerging Markets CTA / Managed Futures Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI249 Index,Eurekahedge Emerging Markets Medium Hedge Fund Index US$50m - US$250m,Index/Stats,Miscellaneous Indices
,EHFI250 Index,Eurekahedge Emerging Markets Large Hedge Fund Index > US$250m,Index/Stats,Miscellaneous Indices
,EHFI256 Index,Eurekahedge Small Hedge Fund Index < US$100m,Index/Stats,Miscellaneous Indices
,EHFI257 Index,Eurekahedge Medium Hedge Fund Index US$100m - US$500m,Index/Stats,Miscellaneous Indices
,EHFI258 Index,Eurekahedge Large Hedge Fund Index > US$500m,Index/Stats,Miscellaneous Indices
,EHFI260 Index,Eurekahedge Asia/Japan Convertible Arbitrage Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI263 Index,Eurekahedge Asia/Japan Event Driven Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI266 Index,Eurekahedge Asia/Japan Macro Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI267 Index,Eurekahedge Asia/Japan Multi-Strategy Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI270 Index,Eurekahedge Emerging Markets Event Driven Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI272 Index,Eurekahedge Emerging Markets Long / Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI274 Index,Eurekahedge Emerging Markets Multi-Strategy Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI4 Index,Eurekahedge Asia CTA Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI43 Index,Eurekahedge Australia New Zealand Fixed Income Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI44 Index,Eurekahedge Australia New Zealand Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI45 Index,Eurekahedge Australia New Zealand Long Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI5471 Index,Eurekahedge UCITS Event Driven Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI5472 Index,Eurekahedge UCITS Fixed Income Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI5476 Index,Eurekahedge UCITS Relative Value Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI552 Index,Eurekahedge UCITS Asia Fixed Income Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI553 Index,Eurekahedge UCITS Asia Long Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI557 Index,Eurekahedge UCITS Asian Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI558 Index,Eurekahedge UCITS Europe Arbitrage Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI562 Index,Eurekahedge UCITS Europe Fixed Income Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI563 Index,Eurekahedge UCITS Europe Long Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI564 Index,Eurekahedge UCITS Europe Macro Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI583 Index,Eurekahedge UCITS North America Long Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI587 Index,Eurekahedge UCITS North American Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI588 Index,Eurekahedge UCITS Emerging Markets Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI593 Index,Eurekahedge UCITS Emerging Markets Fixed Income Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI598 Index,Eurekahedge UCITS Arbitrage Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI6 Index,Eurekahedge Asia Event Driven Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI71 Index,Eurekahedge Europe Arbitrage Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI73 Index,Eurekahedge Europe CTA Managed Futures Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI8 Index,Eurekahedge Asia ex Japan CTA Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI803 Index,Eurekahedge Billion Dollar Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI814 Index,Eurekahedge India Hedge Fund Index (USD),Index/Stats,Miscellaneous Indices
,EHFI815 Index,Eurekahedge Latin American Hedge Fund Index (USD),Index/Stats,Miscellaneous Indices
,EHFI86 Index,Eurekahedge Europe Macro Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI88 Index,Eurekahedge Europe Multi Strategy Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI90 Index,Eurekahedge Europe Relative Value Hedge Fund Index,Index/Stats,Miscellaneous Indices
,MAXASIA KY Equity,MAXAM Eurekahedge Index Funds SPC Ltd - Asian Investable Index SP Class A - Hedge Fund,Funds,Hedge Funds
,MAXEMII KY Equity,MAXAM Eurekahedge Index Funds SPC Ltd - Emerging Markets Investable Index SP Class A - Hedge Fund,Funds,Hedge Funds
,MAXJPII KY Equity,MAXAM Eurekahedge Index Funds SPC Ltd - Japan Investable Index SP Class A - Hedge Fund,Funds,Hedge Funds
,EHFI607 Index,Eurekahedge Index - JPY Hedged,Index/Stats,Miscellaneous Indices
